1711598;почаша;почати;V-;3paia----i;1ppia----i:Почнемъ|-pspamn-si:почали|3saia----i:Поча,поча,поцѧ,почѧ|3spia----i:почьнеть|-sspamn-si:почалъ,почѧлъ|2spia----i:поцьньши|--pna----i:почнет|3daia----i:почаста,почѧста|1saia----i:почаяхъ|-suppfn-si:Почата|-suppna-wi:початое|-suppfn-wi:початаѧ|-puppmn-wi:початые|-supamn-si:поченъ|1spia----i:почну|3ppia----i:почнутъ;почаша,почѧшѧ,почяшя
1711599;сами;самъ;Pd;-p---mn--i;-s---mi--i:самѣмъ|-s---mn--i:самъ,самʼ,сам꙽,саме|-p---mi--i:самѣми|-s---fn--i:сама|-p---nl--i:самѣхъ|-d---md--i:самѣма|-d---mn--i:сама|-s---md--i:самому,самамѹ,самомѹ,сомомѹ,Самомѹ|-s---mg--i:самого,самаго|-p---mg--i:самѣхъ,самыхъ|-p---ma--i:самыя|-s---fd--i:самой,самои|-s---fl--i:самои|-p---md--i:самимъ,самымъ|-s---fg--i:самыя|-s---ng--i:самого|-s---nn--i:самое|-p---fl--i:самѣхъ|-p---fg--i:самѣх|-s---na--i:самое|-s---nl--i:самом|-s---fa--i:саму|-d---mg--i:самаю;сами,самы,самї,Сами
1711600;в;въ;R-;---------n;no distractor;в
1711601;собѣ;себе;Pk;3s---ml--i;3s---qa--i:стѧ,сиѧ,с꙽ѧ|3p---ma--i:сѧ|3s---ma--i:собѧ,себѧ|3s---qg--i:собе,себе,себѧ,себя|3s---mi--i:соб[ою|3s---fi--i:собою|3s---mg--i:себе,собе,собя,себя,собѧ,себѣ,себѧ|3s---qi--i:собою|3s---ql--i:себѣ,собе|3s---fg--i:себѧ,сѣбѧ,себе|3s---fa--i:сїѧ|3p---mi--i:собою|3d---md--i:себе,себѣ|3s---nd--i:си|3s---ni--i:собою|3p---mg--i:себѣ,себе;собѣ,себѣ,себе,СЕБѢ,сѣбѣ,събѣ
1711602;володѣти;володѣти;V-;--pna----i;-pppamd-si:володѣющемъ|3ppia----i:володѣють|-sspamn-si:володѣлъ|-sppamn-si:володѣя;володѣти
1711603;и;и;C-;---------n;no distractor;и
1711604;не;не;Df;---------n;no distractor;не
1711605;бѣ;быти;V-;3siia----i;3spia----i:есть,етсь,ѥсть,естъ,есте|-pppamd-wi:сѹщиимъ|3saia----i:бысть,бꙑсть,быстъ,быстʼ|3ppia----i:бдуть,соуть|-pppama-wi:сущая,сѹщаѧ|3pfia----i:боудоуть|-supamn-si:бывше|3piia----i:бѣахѹть|3paia----i:быша,бꙑша|-sspamn-si:былъ,был꙽,бꙑлъ,бꙑло,бꙑле|--pna----i:быти,бꙑти,быть,Быти|-pppamn-si:соущи,соуще|3diia----i:бѧста,бѣста,беста|1piia----i:бѧхомъ|-pspann-si:была,были|-sppafd-wi:сущеи,сѹщеи|-sppafd-si:сущи,суще,сѹщи,сѹще|-sppamg-si:соуща|1spia----i:ес꙽мь,есемо,есьмь,есьмъ|3spma----i:буди,бѹди,бѹдь,бꙋди|3daia----i:быста,бѣста,бꙑста|3sfia----i:боудеть,боудетъ,боудѣте,боудѣть,боудѣтѣ|-supafd-si:бывъши|-supanl-wi:бывшемъ|-supang-wi:бывшаго|-sfpama-wi:будущии,будущїи,бѹдѹщии,бѹдѹщиї|-sfpamn-wi:будущии|-pppamg-wi:сѹщиихъ|1ppia----i:ес꙽мы|-pfpama-wi:будущая|2spia----i:бѹдеши|1paia----i:быхомъ,быхъмъ|2ppia----i:есте,ѥсте,естя,єсте|-pupamn-si:бывъше|-sppafa-si:сущю,сѹщю,сѹщȣ,сѹщѹ|-supafn-si:бывши|1sfia----i:буду,бѹдѹ|2spma----i:буди,бѹди,бꙋди|-sppafn-si:соущи|-pupana-wi:бывшая|1pfia----i:будемъ|-sspafn-si:была|-pspamn-si:были,Были|2paia----i:бысте,бѣсте|-sppang-wi:сущаго,сѹщаго|2dfia----i:будета|3dpia----i:еста,ѥста|2sfia----i:бѹдеш]и|-pupamd-wi:бывшимъ|-supamd-si:бывъшю,быв꙽шѹ|-sppamn-wi:соущїи|-sspann-si:был҃о|-supana-wi:бывъшеѥ|-supafa-si:бывшю,бывши|-pppama-si:суща,сѹща|-pppamd-si:сущемъ,сѹщемъ|-sppamd-si:сущю,сѹщю,сущу,сѹщѹ,сѹщȣ,сꙋщꙋ,сѹщꙋ|1saia----i:быхъ,бѧхъ,бꙑхо|2daia----i:быста|-dppamn-si:суща|2dpia----i:еста,ѥста|-sppafa-wi:сущюю|-sppama-si:сущи,сѹщь|-sppand-si:соущꙋ|2pfia----i:боудѣте|1dpia----i:есвѣ,есвҍ|1siia----i:бѣхъ|1dfia----i:будевѣ,бѹдевѣ|-pspafn-si:были|-supand-si:бывъшю,быв꙽шѹ|-sppamg-wi:сѹщааго|-pppamn-wi:соущїи|-pppami-wi:сѹщиими|-sfpamg-wi:бѹдѹщаго|-dppamg-si:сѹщю|-dupamg-si:бывъшю|2saia----i:бысть|2ppma----i:будѣте|-sfpaml-wi:бѹдѹщемъ|-pppann-wi:сущие|-sppann-wi:сущее|-supamn-wi:бывыи,бывьї|-sppamn-si:сѹщь,буда|-supamg-si:бывъша|-pppaml-wi:сѹщиихъ|-sppann-si:сѹще|-pppana-si:сѹща|-sppafn-wi:сѹщаꙗ,сѹщаѧ|-sppana-si:сѹще|-pppang-wi:сѹщиихъ,бѹдꙋщих|-sppama-wi:сѹщии|-pppana-wi:соущаѧ|-pppand-si:сѹщемъ|-sppamd-wi:сѹщюѹмѹ|-pupamn-wi:бывъшеи|1ppma----i:бѹдѣмъ|-pupamd-si:бывъшемъ|-sppang-si:сѹща|-dppamd-si:сѹщема|-pupamg-wi:бывъшиихъ|-pppafd-wi:соущимъ|-supafa-wi:бывшꙋю,бывшюю|-supamg-wi:быв꙽шаго|-sfpang-wi:бѹдꙋщаго|-pfpann-wi:бѹдѹщаѧ|-supann-wi:быв꙽шее|-pfpand-wi:бѹдꙋщим|-sfpana-wi:бѹдꙋщее|-pfpana-wi:бѹдꙋщаѧ,будущая|-pupang-wi:быв꙽шихъ|-sppana-wi:сѹщее|-pupama-wi:быв꙽шаѧ|-dspamn-si:была|-supama-wi:бывшии|-pppann-si:суща|-dupamg-wi:бывшею|-supang-si:бывша;бѣ,бѧше,будѧше,бѧшеть,Бѣ,бѣаше,бяше,бꙗше,бꙗаше,бѹдꙗше,бѹдѧше,бѣаша,бꙋдѧше,бѣѧше,б]ѧше,бѣше,бяшетъ,Бяшеть,будяше,бяшеть,бяаше,бѣяше
1711606;в;въ;R-;---------n;no distractor;в
1711607;нихъ;и;Pp;3p---ml--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---md--i:им же|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3s---mi--i:нимъ,немъ,нимь,нїмь,ним꙽,дним,нимо|3p---fa--i:нѣ|3s---na--i:е же|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3s---ni--i:имь,имъ|3p---fd--i:нимъ|3p---fi--i:ними|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---nd--i:нимъ|3p---ni--i:ими|3s---nd--i:емѹ;них,нихъ,нихʼ,них҃
1711608;правды;правьда;Nb;-s---fg--i;-s---fa--i:правьду,правдоу,правьдѹ|-s---fn--i:пр҃вда,правда|-s---fd--i:правдѣ|-s---fi--i:правдою|-s---fl--i:правде,правдѣ;правды,правьды
1711609;и;и;C-;---------n;no distractor;и
1711610;въста;въстати;V-;3saia----i;-supamn-si:возставше|-pupamd-si:въставшемь|--pna----i:въстати,востати|2spma----i:въстани,востани|3paia----i:въсташа,Въсташа,восташа|-pupamn-si:воставше|3daia----i:встаста|-sspamn-si:всталъ|2ppma----i:встанѣте|3spia----i:встанеть,въстаеть|3piia----i:востаху|-sspafn-si:востала,въстала,Въстала|-supafn-si:въставъши|-pspamn-si:встали|3siia----i:въстанꙗше|-supamg-si:въставъша|-supamd-si:въставшꙋ|-sppamd-si:встанущю;въста,вста,воста
1711611;родъ;родъ;Nb;-s---mn--i;-p---mi--i:роды|-s---mi--i:родомъ,родомь,родъмь|-s---ml--i:родѣ,родꙋ,родѹ|-s---mg--i:рода,рада,роду|-p---md--i:родомъ|-p---ma--i:роды,роди|-s---md--i:родоу|-p---mn--i:роди|-p---mg--i:родовъ;родъ,род,Родъ,рѡд
1711612;на;на;R-;---------n;no distractor;на
1711613;родъ;родъ;Nb;-s---ma--i;-p---mi--i:роды|-s---mi--i:родомъ,родомь,родъмь|-s---ml--i:родѣ,родꙋ,родѹ|-s---mg--i:рода,рада,роду|-p---md--i:родомъ|-p---ma--i:роды,роди|-s---md--i:родоу|-p---mn--i:роди|-p---mg--i:родовъ;родъ,род,рѡд꙽,род꙽
1711614;быша;быти;V-;3saia----i;3spia----i:есть,етсь,ѥсть,естъ,есте|-pppamd-wi:сѹщиимъ|3ppia----i:бдуть,соуть|3siia----i:будѧше,бѧшеть,бѹдꙗше,бѹдѧше,бꙋдѧше,бяшетъ,Бяшеть|-pppama-wi:сущая,сѹщаѧ|3pfia----i:боудоуть|-supamn-si:бывше|3piia----i:бѣахѹть|-sspamn-si:былъ,был꙽,бꙑлъ,бꙑло,бꙑле|--pna----i:быти,бꙑти,быть,Быти|-pppamn-si:соущи,соуще|3diia----i:бѧста,бѣста,беста|1piia----i:бѧхомъ|-pspann-si:была,были|-sppafd-wi:сущеи,сѹщеи|-sppafd-si:сущи,суще,сѹщи,сѹще|-sppamg-si:соуща|1spia----i:ес꙽мь,есемо,есьмь,есьмъ|3spma----i:буди,бѹди,бѹдь,бꙋди|3daia----i:быста,бѣста,бꙑста|3sfia----i:боудеть,боудетъ,боудѣте,боудѣть,боудѣтѣ|-supafd-si:бывъши|-supanl-wi:бывшемъ|-supang-wi:бывшаго|-sfpama-wi:будущии,будущїи,бѹдѹщии,бѹдѹщиї|-sfpamn-wi:будущии|-pppamg-wi:сѹщиихъ|1ppia----i:ес꙽мы|-pfpama-wi:будущая|2spia----i:бѹдеши|1paia----i:быхомъ,быхъмъ|2ppia----i:есте,ѥсте,естя,єсте|-pupamn-si:бывъше|-sppafa-si:сущю,сѹщю,сѹщȣ,сѹщѹ|-supafn-si:бывши|1sfia----i:буду,бѹдѹ|2spma----i:буди,бѹди,бꙋди|-sppafn-si:соущи|-pupana-wi:бывшая|1pfia----i:будемъ|-sspafn-si:была|-pspamn-si:были,Были|2paia----i:бысте,бѣсте|-sppang-wi:сущаго,сѹщаго|2dfia----i:будета|3dpia----i:еста,ѥста|2sfia----i:бѹдеш]и|-pupamd-wi:бывшимъ|-supamd-si:бывъшю,быв꙽шѹ|-sppamn-wi:соущїи|-sspann-si:был҃о|-supana-wi:бывъшеѥ|-supafa-si:бывшю,бывши|-pppama-si:суща,сѹща|-pppamd-si:сущемъ,сѹщемъ|-sppamd-si:сущю,сѹщю,сущу,сѹщѹ,сѹщȣ,сꙋщꙋ,сѹщꙋ|1saia----i:быхъ,бѧхъ,бꙑхо|2daia----i:быста|-dppamn-si:суща|2dpia----i:еста,ѥста|-sppafa-wi:сущюю|-sppama-si:сущи,сѹщь|-sppand-si:соущꙋ|2pfia----i:боудѣте|1dpia----i:есвѣ,есвҍ|1siia----i:бѣхъ|1dfia----i:будевѣ,бѹдевѣ|-pspafn-si:были|-supand-si:бывъшю,быв꙽шѹ|-sppamg-wi:сѹщааго|-pppamn-wi:соущїи|-pppami-wi:сѹщиими|-sfpamg-wi:бѹдѹщаго|-dppamg-si:сѹщю|-dupamg-si:бывъшю|2saia----i:бысть|2ppma----i:будѣте|-sfpaml-wi:бѹдѹщемъ|-pppann-wi:сущие|-sppann-wi:сущее|-supamn-wi:бывыи,бывьї|-sppamn-si:сѹщь,буда|-supamg-si:бывъша|2siia----i:бѣ|-pppaml-wi:сѹщиихъ|-sppann-si:сѹще|-pppana-si:сѹща|-sppafn-wi:сѹщаꙗ,сѹщаѧ|-sppana-si:сѹще|-pppang-wi:сѹщиихъ,бѹдꙋщих|-sppama-wi:сѹщии|-pppana-wi:соущаѧ|-pppand-si:сѹщемъ|-sppamd-wi:сѹщюѹмѹ|-pupamn-wi:бывъшеи|1ppma----i:бѹдѣмъ|-pupamd-si:бывъшемъ|-sppang-si:сѹща|-dppamd-si:сѹщема|-pupamg-wi:бывъшиихъ|-pppafd-wi:соущимъ|-supafa-wi:бывшꙋю,бывшюю|-supamg-wi:быв꙽шаго|-sfpang-wi:бѹдꙋщаго|-pfpann-wi:бѹдѹщаѧ|-supann-wi:быв꙽шее|-pfpand-wi:бѹдꙋщим|-sfpana-wi:бѹдꙋщее|-pfpana-wi:бѹдꙋщаѧ,будущая|-pupang-wi:быв꙽шихъ|-sppana-wi:сѹщее|-pupama-wi:быв꙽шаѧ|-dspamn-si:была|-supama-wi:бывшии|-pppann-si:суща|-dupamg-wi:бывшею|-supang-si:бывша;быс,бы,быша,бысть,б҃ы,Быс,беѣ,бꙑсть,бъ,бе,бь,б,быст,быстъ,бы҃с,быс҃,быстʼ,бы҃,бꙑс҃,Выс,бꙑт҃,бꙑ,бысь,выс,быт
1711615;в;въ;R-;---------n;no distractor;в
1711616;них;и;Pp;3p---ml--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---md--i:им же|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3s---mi--i:нимъ,немъ,нимь,нїмь,ним꙽,дним,нимо|3p---fa--i:нѣ|3s---na--i:е же|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---fg--i:нихъ|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3s---ni--i:имь,имъ|3p---fd--i:нимъ|3p---fi--i:ними|3p---nl--i:нихъ|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---nd--i:нимъ|3p---ni--i:ими|3s---nd--i:емѹ;них,нихъ,нихʼ,них҃
1711617;усобицѣ;усобица;Nb;-p---fn--i;-s---fn--i:оусобица|-s---fg--i:оусобицѣ|-p---fa--i:усобіцѣ|-p---fi--i:усобицами;усобицѣ
1711618;и;и;C-;---------n;no distractor;и
1711619;воевати;воевати;V-;--pna----i;3piia----i:воеваху|3spia----i:воюеть,воюетъ|3ppia----i:воюють|-sppamn-si:воюя|1ppia----i:воюемъ,воюѥмъ|---u--a--i:воеватъ,воѥватъ|-pupamn-si:воевавше|-pppamd-wi:воюющим|3paia----i:Воеваша,воеваша,воѥваша|-pppamn-si:воюючи,воююче|3saia----i:воева,воѥва|2paia----i:воевасте|-sspamn-si:воевалъ|3siia----i:воеваше;воевати,воѥвати,воеват
1711620;почаша;почати;V-;3paia----i;1ppia----i:Почнемъ|-pspamn-si:почали|3saia----i:Поча,поча,поцѧ,почѧ|3spia----i:почьнеть|-sspamn-si:почалъ,почѧлъ|2spia----i:поцьньши|--pna----i:почнет|3daia----i:почаста,почѧста|1saia----i:почаяхъ|-suppfn-si:Почата|-suppna-wi:початое|-suppfn-wi:початаѧ|-puppmn-wi:початые|-supamn-si:поченъ|1spia----i:почну|3ppia----i:почнутъ;почаша,почѧшѧ,почяшя
